bounds = [{'name': 'var_1', 'type': 'continuous', 'domain': (-6, -1.5), 'dimensionality': 1}, #log-eta
              {'name': 'var_2', 'type': 'discrete', 'domain': tuple(range(1, 150)), 'dimensionality': 1}, #k
              {'name': 'var_3', 'type': 'continuous', 'domain': (-6, 1), 'dimensionality': 1}, #log-reg_factor
              {'name': 'var_4', 'type': 'continuous', 'domain': (4, 7), 'dimensionality': 1}] # log-num_of_samples


 max_iter = 100  ## maximum number of iterations

Loading data... 
Data loaded
Extracting data...
Data extracted
k = 104  eta = 0.03162277660168379 num_of_samples = 2971058 reg_factor = 0.02679534496715214
Score:  1.1312476915202008
k = 102  eta = 0.0012676036521870018 num_of_samples = 1234819 reg_factor = 9.690017740010186e-05
Score:  1.116241298728989
k = 101  eta = 0.003979092464061206 num_of_samples = 10000000 reg_factor = 0.0033688127001867143
Score:  1.112545217616178
k = 101  eta = 5.2429561163179613e-05 num_of_samples = 10000000 reg_factor = 0.0013043917633473693
Score:  1.1222675091993952
k = 101  eta = 0.03162277660168379 num_of_samples = 239719 reg_factor = 0.0017568131195127097
Score:  1.1319281657769937
k = 104  eta = 0.000662576389749005 num_of_samples = 240609 reg_factor = 3.8894097517376334e-06
Score:  1.1297712714013124
k = 102  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 3.059671618026261e-05
Score:  1.1212284174638105
k = 101  eta = 0.001031800984732771 num_of_samples = 10000000 reg_factor = 0.27504457314160974
Score:  1.145311097116137
k = 100  eta = 0.0023205511443337885 num_of_samples = 10000000 reg_factor = 0.00010288389163551832
Score:  1.1128845392888846
k = 101  eta = 0.00015495807236332095 num_of_samples = 10000000 reg_factor = 3.0076509393251455e-06
Score:  1.1154120420964813
k = 99  eta = 9.57024781348678e-05 num_of_samples = 10000000 reg_factor = 7.096851305668179e-06
Score:  1.1189852539781475
k = 100  eta = 0.008299345876551538 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.114019309917654
k = 100  eta = 0.0010024147739834352 num_of_samples = 222601 reg_factor = 3.0986086493925784e-06
Score:  1.12783861382372
k = 98  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 1.36713861582217e-05
Score:  1.1244370821639624
k = 117  eta = 0.00037630402749456115 num_of_samples = 10000000 reg_factor = 0.0035462653379544043
Score:  1.1108757154508873
k = 119  eta = 0.002153981249233492 num_of_samples = 10000000 reg_factor = 0.0012354459916048858
Score:  1.112182704753811
k = 118  eta = 0.000639879284728788 num_of_samples = 10000000 reg_factor = 9.093321875964846e-05
Score:  1.1103868263721286
k = 119  eta = 3.743624416943411e-05 num_of_samples = 10000000 reg_factor = 0.0011034091684672012
Score:  1.1242923561636744
k = 118  eta = 0.0022730703391747533 num_of_samples = 729567 reg_factor = 0.0013993282061395664
Score:  1.114134348476488
k = 118  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 7.513715699390764e-05
Score:  1.1192472914575757
k = 120  eta = 0.0017452849752728787 num_of_samples = 967840 reg_factor = 2.685130116472343e-05
Score:  1.1145426627056076
k = 119  eta = 0.000521659451936091 num_of_samples = 10000000 reg_factor = 1.1991222306778797e-06
Score:  1.1105385003872668
k = 118  eta = 0.00018837708799223103 num_of_samples = 352541 reg_factor = 4.782852405659686e-06
Score:  1.1318496889631835
k = 120  eta = 0.012156723061764699 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.1151164462065943
k = 121  eta = 0.00014112243010731292 num_of_samples = 10000000 reg_factor = 1.3612375560998604e-06
Score:  1.115922362772194
k = 121  eta = 0.026871990890675324 num_of_samples = 10000000 reg_factor = 0.00020977155266035399
Score:  1.1190383504128647
k = 120  eta = 0.013393808675985028 num_of_samples = 207938 reg_factor = 0.00794513867178688
Score:  1.1202442600424143
k = 118  eta = 0.0024067761736668437 num_of_samples = 10000000 reg_factor = 0.0817336623813258
Score:  1.1159626132827736
k = 122  eta = 0.00491143022470246 num_of_samples = 216484 reg_factor = 1e-06
Score:  1.1200056789032697
k = 122  eta = 0.00019272138465875212 num_of_samples = 1333999 reg_factor = 0.00014266556585607518
Score:  1.1268170505821953
k = 111  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.121772428638517
k = 118  eta = 0.0002935161911526942 num_of_samples = 100370 reg_factor = 0.16285501946953154
Score:  1.1321901623363362
k = 121  eta = 3.0299439842523144e-05 num_of_samples = 65540 reg_factor = 1e-06
Score:  1.1347857305556581
k = 98  eta = 0.00042969769711075594 num_of_samples = 10000000 reg_factor = 0.00146278935811233
Score:  1.109631331490112
k = 97  eta = 1.7065586487985516e-05 num_of_samples = 10000000 reg_factor = 0.0006403163765755294
Score:  1.1299603944282883
k = 99  eta = 0.006827264139285895 num_of_samples = 10000000 reg_factor = 0.002623059727195515
Score:  1.1149643399884162
k = 97  eta = 0.005536334159807096 num_of_samples = 10000000 reg_factor = 0.0099263714414115
Score:  1.1125429416825554
k = 128  eta = 0.0031396922820795528 num_of_samples = 1271783 reg_factor = 0.014480399472801973
Score:  1.1118149852997916
k = 98  eta = 0.0017186489324862095 num_of_samples = 296257 reg_factor = 0.0031259720206613007
Score:  1.1253886196535774
k = 95  eta = 0.03162277660168379 num_of_samples = 10000000 reg_factor = 0.0012112512113999828
Score:  1.123541389781256
k = 98  eta = 0.0003058379526603019 num_of_samples = 10000000 reg_factor = 0.09878678396897396
Score:  1.1133336788674661
k = 96  eta = 0.0016565795294384011 num_of_samples = 10000000 reg_factor = 0.7900230891109031
Score:  1.428584339046349
k = 97  eta = 0.014901328321174748 num_of_samples = 10000000 reg_factor = 0.0014368333376538294
Score:  1.1170069018950213
k = 99  eta = 0.00041923587012612264 num_of_samples = 10000000 reg_factor = 0.023166398341759806
Score:  1.1091872489934431

Best: 
[ -2.9844802 114.         -6.          7.       ]
[1.10854302]

(k = 114  eta = 0.0010363818521337803 num_of_samples = 10000000 reg_factor = 1e-06
Score:  1.1085430217144085)
